"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R2";"TRIM_3296W-1-103LF";1;"3296W-1-103LF";;;
2;"J4";"CUI_SJ-3523-SMT-TR";1;"SJ-3523-SMT-TR";;;
3;"IC40";"SOIC127P600X175-8N";1;"LM386M-1_NOPB";;;
4;"C70";"CP_Radial_D8.0mm_P3.50mm";1;"270uF";;;
5;"R1";"R_0805_2012Metric";1;"10";;;
6;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
7;"C71";"C_0805_2012Metric";1;"0.05uF";;;
8;"J2,J1";"PinHeader_2x20_P2.54mm_Vertical";2;"Conn_02x20_Odd_Even";;;
9;"SG64,SG63,SG62,SG61,SG60,SG59,SG58,SG57,SG56,SG55,SG54,SG53,SG52,SG51,SG50,SG49,SG48,SG47,SG46,SG45,SG44,SG43,SG42,SG41,SG40,SG39,SG38,SG37,SG36,SG35,SG34,SG33,SG32,SG31,SG30,SG29,SG28,SG27,SG26,SG25,SG24,SG23,SG22,SG21,SG20,SG19,SG18,SG17,SG16,SG15,SG14,SG13,SG12,SG11,SG10,SG9,SG8,SG7,SG6,SG5,SG4,SG3,SG2,SG1";"BMT1205XH7.5";64;"BMT1205XH7.5";;;
10;"J3";"BarrelJack_Horizontal";1;"Barrel_Jack";;;
11;"IC32,IC31,IC30,IC29,IC28,IC27,IC26,IC25,IC24,IC23,IC22,IC21,IC20,IC19,IC18,IC17,IC16,IC15,IC14,IC13,IC12,IC11,IC10,IC9,IC8,IC7,IC6,IC5,IC4,IC3,IC2,IC1";"SOIC127P602X168-9N";32;"TC4427AEOA";;;
12;"C64,C62,C60,C58,C56,C54,C52,C50,C48,C46,C44,C42,C40,C38,C36,C34,C32,C30,C28,C26,C24,C22,C20,C18,C16,C14,C12,C10,C8,C6,C4,C2";"C_0805_2012Metric";32;"0u1F";;;
13;"C63,C61,C59,C57,C55,C53,C51,C49,C47,C45,C43,C41,C39,C37,C35,C33,C31,C29,C27,C25,C23,C21,C19,C17,C15,C13,C11,C9,C7,C5,C3,C1";"C_0805_2012Metric";32;"4u7F";;;
14;",,,,,";"MountingHole_3mm";6;"MountingHole_3mm";;;
